Sl No.,Course,Instructor name,Department,Programm,Branch/Semester/Section,Offered L-T-P,Time Table
32,FMD536(Surface Engineering),Kesavan  Ravi,fme,b.tech,mlmte/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         FME-1                                                                                                                                                   Thursday                                         10:00-10:50                                         FME-1                                                                                                                                                   Friday                                         10:00-10:50                                         FME-1
33,FMO544(Clean Coal Technology),Barun Kumar Nandi,fme,b.tech,mlmte/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-C14                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-C14                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-C14
34,"HSO513(Environment, Development and Politics)",Sangay  Tamang,fme,b.tech,mlmte/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-G7                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-G7                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-G7
35,HSO308(Social Psychology),Sucharita  Maji,me,b.tech,me/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-G10                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-G10                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-G10
36,HSO310(Psychology of Everyday Life),Deepika  Sharma,me,b.tech,me/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-C13                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-C13                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-C13
37,MND407(Underground Space Technology),Gnananandh  Budi,me,b.tech,me/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-G13                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-G13                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-G13
38,MND408(Innovative Mining Systems),Santosh Kumar Behera,me,b.tech,me/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-G12                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-G12                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-G12
39,MND409(Introduction to Geographical Information System),Maitreya Mohan Sahoo,me,b.tech,me/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-G12                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-II-G12                                                                                                                                                   Friday                                         11:00-11:50                                         LC-II-G12
40,MND411(Advanced Underground Mining Methods),Bhaskara  Behera,me,b.tech,me/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-G12                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-G12                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-G12
41,MND412(Deep Coal Mining),Ashok  Kumar,me,b.tech,me/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-G13                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-G13                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-G13
42,MSO404(Introduction to Operations Management),Kuthambalayan Sridhar Thyagaraj,me,b.tech,me/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-G7                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-G7                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-G7
43,MED529(Composite Materials),Sarthak Sambit Singh,mech,b.tech,mech/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-G10                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-II-G10                                                                                                                                                   Friday                                         11:00-11:50                                         LC-II-G10
44,MED531(Fracture Mechanics),Rashmi Ranjan Das,mech,b.tech,mech/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-G10                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-G10                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-G10
45,MEO522(Condition Monitoring of Machines),Sachin Kumar Singh,mech,b.tech,mech/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-G10                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-G10                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-G10
46,MEO580(Measurements in Thermal Engineering),Subramanian  Narayan,mech,b.tech,mech/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-G10                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-G10                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-G10
