Sl No.,Course,Instructor name,Department,Programm,Branch/Semester/Section,Offered L-T-P,Time Table
122,MNO401(Rock Engineering ),Rabindra Kumar Sinha,me,b.tech,me/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-G13                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-G13                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-G13
123,HSO402(Computational Psychology),Ahmed  Sameer,mech,b.tech,mech/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-G15                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-G15                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-G15
124,HSO404(Sociology of Health),Dipannita  Chand,mech,b.tech,mech/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-G15                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-G15                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-G15
125,MEC306(Computer Aided Manufacturing),Vivek  Bajpai,mech,b.tech,mech/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         03:00-03:50                                         LC-II-G14
126,MEC307(IC Engines and Gas Turbines),Deepak Kumar Mandal,mech,b.tech,mech/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         LC-II-G14
127,MEC308(Computer Aided Manufacturing Lab),"Kailash  Jha,Vivek  Bajpai,Zafar  Alam",mech,b.tech,mech/6/,0-0-3,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         10:00-10:50                                                                                                                                                                                            Friday                                         12:00-12:50                                                                                                                                                                                            Friday                                         11:00-11:50
128,MEC309(Heat Power and Refrigeration Lab),"Deepak Kumar Mandal,Rakesh  Kumar,Shailendra Narayan Singh,Subramanian  Narayan",mech,b.tech,mech/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50
129,MEO301(Mechanical Measurements),Arun  Dayal Udai,mech,b.tech,mech/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-G14                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-G14                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-G14
130,MEO402(Optimization Theory),Shibayan  Sarkar,mech,b.tech,mech/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-G16                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-G16                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-G16
131,MEO584(Waste Heat Utilization),Tanweer  Alam,mech,b.tech,mech/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                                                                                                                                                                            Tuesday                                         05:00-05:50                                                                                                                                                                                            Wednesday                                         05:00-05:50
132,MMC305(Underground Mining Equipment),K Priya Ajit,mech,b.tech,mme/6/,3-1-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         03:00-03:50                                                                                                                                                                                            Tuesday                                         02:00-02:50                                                                                                                                                                                            Wednesday                                         03:00-03:50                                                                                                                                                                                            Thursday                                         03:00-03:50                                         LC-II-C19
133,MMC306(Opencast Mining Equipment ),Jayanta  Das,mech,b.tech,mme/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         LC-II-C19
134,MMC307(Mining Machinery Lab),"K Priya Ajit,L A   Kumaraswamidhas",mech,b.tech,mme/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         11:00-11:50                                         MH- LAB
135,MMC308(Pumps Fans & Compressors Lab),"Madan Lal Chandravanshi,Tanmay  Dutta",mech,b.tech,mme/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50                                         PFC LAB
136,MMD508(Mechatronics),Sanjoy K Ghoshal,mech,b.tech,mme/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         LC-II-C19                                                                                                                                                   Tuesday                                         05:00-05:50                                         LC-II-C19                                                                                                                                                   Wednesday                                         05:00-05:50                                         LC-II-C19
137,HSD504(Applied Linguistics),Md Mojibur Rahman,pe,b.tech,pe/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         PET 3                                                                                                                                                   Tuesday                                         05:00-05:50                                         PET 3                                                                                                                                                   Wednesday                                         05:00-05:50                                         PET 3
138,HSO514(Introduction to Climate Change and Society),Sangay  Tamang,pe,b.tech,pe/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         PET 1                                                                                                                                                   Tuesday                                         05:00-05:50                                         PET 1                                                                                                                                                   Wednesday                                         05:00-05:50                                         PET 1
139,PEC306(Directional Drilling),Mohammed Hamid Siddique,pe,b.tech,pe/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         03:00-03:50                                         PET 1
140,PEC307(Oil and Gas Well Testing),Ashutosh  Kumar,pe,b.tech,pe/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         PET 1
141,PEC308(Enhanced Oil Recovery Practical),"Chandan  Sahu,Vikas  Mahto",pe,b.tech,pe/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         11:00-11:50                                         PE Reservoir Engineering laboratory
142,PEC309(Reservoir Characterization Practical),Rajeev  Upadhyay,pe,b.tech,pe/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50
143,PED504(Profile Modification & Water Shutoff),Vikas  Mahto,pe,b.tech,pe/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         PET 1                                                                                                                                                   Thursday                                         05:00-05:50                                         PET 1                                                                                                                                                   Friday                                         04:00-04:50                                         PET 1
144,PEO302(Oil & Gas Field Development and Planning),Tarun Kumar Naiya,pe,b.tech,pe/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         PET 1                                                                                                                                                   Tuesday                                         05:00-05:50                                         PET 1                                                                                                                                                   Wednesday                                         05:00-05:50                                         PET 1
145,PHC302(Solid State Physics),Shailendra Kumar Sharma,phy,b.tech,ep/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         LC-II-C4
146,PHC303(Applied Optics Lab),Samapika Mallik,phy,b.tech,ep/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         11:00-11:50                                         PHUG LAB-2
147,PHC304(Spectroscopy Lab),Manu Kurian,phy,b.tech,ep/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50                                         PHUG LAB-2
148,PHC510(Atomic and Molecular Physics),Vineet Kumar Rai,phy,b.tech,ep/6/,3-1-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         03:00-03:50                                                                                                                                                                                            Tuesday                                         02:00-02:50                                                                                                                                                                                            Wednesday                                         03:00-03:50                                                                                                                                                                                            Thursday                                         03:00-03:50                                         LC-II-C4
149,PHO301(Low Temperature Physics & Superconductivity),Ritwik  Mondal,phy,b.tech,ep/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                                                                                                                                                                            Thursday                                         05:00-05:50                                                                                                                                                                                            Friday                                         04:00-04:50
150,PHO303(Physics for Society),Samapika Mallik,phy,b.tech,ep/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         LC-II-G6                                                                                                                                                   Tuesday                                         05:00-05:50                                         LC-II-G6                                                                                                                                                   Wednesday                                         05:00-05:50                                         LC-II-G6
151,PHO401(Introduction to Quantum Devices),Jhasaketan  Nayak,phy,b.tech,ep/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-G6                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-G6                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-G6
152,PHO403(Energy Storage Technologies),Ram Bilash Choudhary,phy,b.tech,ep/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-C15                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-C15                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-C15
153,GLC513(Coal Geology),Bodhisatwa  Hazra,agl,int.m.tech,agl/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         10:00-10:50                                         LC-II-G10                                                                                                                                                   Wednesday                                         10:00-10:50                                         LC-II-G10                                                                                                                                                   Friday                                         12:00-12:50                                         LC-II-G10
154,GLC516(Coal Geology Practical),Bodhisatwa  Hazra,agl,int.m.tech,agl/8/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         04:00-04:50                                         Coal Geology Lab                                                                                                                                                   Wednesday                                         03:00-03:50                                         Coal Geology Lab
155,GLC526(Ore Geology),Sahendra  Singh,agl,int.m.tech,agl/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         10:00-10:50                                         AGL-3                                                                                                                                                   Wednesday                                         11:00-11:50                                         AGL-3                                                                                                                                                   Thursday                                         12:00-12:50                                         AGL-3
156,GLC533(Ore Geology Practical),Sahendra  Singh,agl,int.m.tech,agl/8/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         Ore Geology Lab                                                                                                                                                   Tuesday                                         03:00-03:50                                         Ore Geology Lab
157,GLD531(Sequence Stratigraphy and Basin Analysis),Udita  Bansal,agl,int.m.tech,agl/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         AGL-2                                                                                                                                                   Tuesday                                         12:00-12:50                                         AGL-2                                                                                                                                                   Wednesday                                         12:00-12:50                                         AGL-2
158,GLD544(Kinematics of Rock Deformation),Mrinal Kanti Mukherjee,agl,int.m.tech,agl/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         09:00-09:50                                                                                                                                                                                            Tuesday                                         09:00-09:50                                                                                                                                                                                            Wednesday                                         09:00-09:50
159,GLO502(Geoarchaeology),Deepak  Kumar Jha,agl,int.m.tech,agl/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                                                                                                                                                                            Thursday                                         11:00-11:50                                                                                                                                                                                            Friday                                         11:00-11:50
160,GPC520(Magnetic Method),Upendra K. Singh,agp,int.m.tech,agp/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         10:00-10:50                                         AGP 516                                                                                                                                                   Wednesday                                         10:00-10:50                                         AGP 516                                                                                                                                                   Friday                                         12:00-12:50                                         AGP 516
161,GPC521(Geoelectromagnetic Method),Ujjal Kumar Borah,agp,int.m.tech,agp/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         10:00-10:50                                         AGP Annexure Ground Floor                                                                                                                                                   Wednesday                                         11:00-11:50                                         AGP Annexure Ground Floor                                                                                                                                                   Thursday                                         12:00-12:50                                         AGP Annexure Ground Floor
162,GPC522(Magnetic Method Practical),Upendra K. Singh,agp,int.m.tech,agp/8/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         AGP Annexure Ground Floor                                                                                                                                                   Tuesday                                         03:00-03:50                                         AGP Annexure Ground Floor
163,GPC523(Geoelectromagnetic Method Practical),Ujjal Kumar Borah,agp,int.m.tech,agp/8/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         04:00-04:50                                         AGP Annexure Ground Floor                                                                                                                                                   Wednesday                                         03:00-03:50                                         AGP Annexure Ground Floor
164,GPD502(Formation Evaluation),Partha  Pratim Mandal,agp,int.m.tech,agp/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         AGP Annexure Ground Floor                                                                                                                                                   Thursday                                         10:00-10:50                                         AGP Annexure Ground Floor                                                                                                                                                   Friday                                         10:00-10:50                                         AGP Annexure Ground Floor
165,GPD508(Seismological Data Analysis),Mohit  Agrawal,agp,int.m.tech,agp/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         Seismic data processing Lab                                                                                                                                                   Thursday                                         11:00-11:50                                         Seismic data processing Lab                                                                                                                                                   Friday                                         11:00-11:50                                         Seismic data processing Lab
166,GPD510(Reservoir Geophysics and Deep Water Imaging),Saurabh Datta Gupta,agp,int.m.tech,agp/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         AGP 516                                                                                                                                                   Thursday                                         11:00-11:50                                         AGP 516                                                                                                                                                   Friday                                         11:00-11:50                                         AGP 516
167,GPO510(Strong Motion Seismology and Structural Responses),Prosanta Kumar Khan,agp,int.m.tech,agp/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         AGP 516                                                                                                                                                   Tuesday                                         12:00-12:50                                         AGP 516                                                                                                                                                   Wednesday                                         12:00-12:50                                         AGP 516
168,MCC401(Software Engineering ),Subhashis  Chatterjee,mc,int.m.tech,m&c/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         10:00-10:50                                         LC-II-C20                                                                                                                                                   Wednesday                                         11:00-11:50                                         LC-II-C20                                                                                                                                                   Thursday                                         12:00-12:50                                         LC-II-C20
169,MCC402(Software Engineering Practical),Subhashis  Chatterjee,mc,int.m.tech,m&c/8/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         03:00-03:50                                         UG Lab-2                                                                                                                                                   Tuesday                                         04:00-04:50                                         UG Lab-2
170,MCD505(Basic Number Theory),Ajit   Singh,mc,int.m.tech,m&c/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                                                                                                                                                                            Thursday                                         10:00-10:50                                                                                                                                                                                            Friday                                         10:00-10:50
171,MCD510(Complex Analysis),Neeru   Bala,mc,int.m.tech,m&c/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         10:00-10:50                                         LC-II-C20                                                                                                                                                   Wednesday                                         10:00-10:50                                         LC-II-C20                                                                                                                                                   Friday                                         12:00-12:50                                         LC-II-C20
172,MCD514(Sampling Theory),Garib Nath Singh,mc,int.m.tech,m&c/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-I-C15                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-I-C15                                                                                                                                                   Friday                                         10:00-10:50                                         LC-I-C15
173,MCD540(Biostatistics),Gajendra Kumar Vishwakarma,mc,int.m.tech,m&c/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-I-C11                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-I-C11                                                                                                                                                   Friday                                         11:00-11:50                                         LC-I-C11
174,MCO532(Advanced Multivariate Analysis),Shuvashree  Mondal,mc,int.m.tech,m&c/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-I-C11                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-I-C11                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-I-C11
